objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
256570.0,True,1997.145.3,1997,True,https://images.metmuseum.org/CRDImages/gr/original/DP119236.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP119236.jpg,[],,Greek and Roman Art,Plaque of Mithras killing the bull,Bronze plaque of Mithras slaying the bull,Roman,"Mid-Imperial, Antonine or Severan",,,,,,,,,,,,,,,,mid-2nd–early 3rd century CE,130.0,220.0,Bronze,Overall: 14 x 11 5/8 x 1 3/4 in. (35.6 x 29.5 x 4.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 35.61, 'Thickness': 4.445, 'Width': 29.49}}]","Gift of Mr. and Mrs. Klaus G. Perls, 1997",,,,,,,,,,,,Bronzes,,,2024-02-02T15:12:51.547Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/256570,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}, {'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}, {'term': 'Scorpions', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300311341', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q19125'}, {'term': 'Snakes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250870', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2102'}]",https://www.wikidata.org/wiki/Q29383971,True,169,
504985.0,False,09.163.3,1909,True,https://images.metmuseum.org/CRDImages/mi/original/DP-14778-001.jpg,https://images.metmuseum.org/CRDImages/mi/web-large/DP-14778-001.jpg,"['https://images.metmuseum.org/CRDImages/mi/original/MUS1176A5.jpg', 'https://images.metmuseum.org/CRDImages/mi/original/148246.jpg']",,Musical Instruments,Bullroarer,Bullroarer (Imunu Viki?),Papua New Guinean,,,,,,,,,,,,,,,,,late 19th century,1850.0,1900.0,"wood, lime",25 1/8 × 3 × 1/4 in. (63.8 × 7.6 × 0.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 0.63500124, 'Height': 63.817627, 'Width': 7.620015}}]","The Crosby Brown Collection of Musical Instruments, 1889",,,Gulf of Papua,,Papua New Guinea,,,,,,,Aerophone-Free Aerophone,,,2023-08-09T04:55:37.473Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/504985,,https://www.wikidata.org/wiki/Q116413289,False,684,
250911.0,False,20.37.4,1920,True,https://images.metmuseum.org/CRDImages/gr/original/47409.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/47409.jpg,[],,Greek and Roman Art,Statuette of a bull,Bronze bull,Greek,Classical,,,,,,,,,,,,,,,,2nd half of the 5th century BCE,-450.0,-400.0,Bronze,"H. 5 1/2 in. (14 cm)
length  8 3/16 in. (20.8 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 14}}, {'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Length': 20.8}}]","Rogers Fund, 1920",,,,,,,,,,,,Bronzes,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/250911,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116293128,False,159,
552688.0,False,04.2.606,1904,True,https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036912.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_606_EGDP036912.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036914.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036911.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036916.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036913.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-04_2_606_EGDP036915.jpg']",,Egyptian Art,"Figurine, bull",Bull figurine,,Late Period,Dynasty 26–30,,,,,,,,,,,,,,,664–332 B.C.,-664.0,-332.0,Bronze or copper alloy,H. 5.7 × L. 5.7 cm (2 1/4 × 2 1/4 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.7, 'Length': 5.7}}]","Gift of Darius Ogden Mills, 1904",From,,,,Egypt,,,,,,,,,,2024-04-11T04:52:34.303Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/552688,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116419512,False,130,
544744.0,False,24.2.27,1924,True,https://images.metmuseum.org/CRDImages/eg/original/EG171.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/EG171.jpg,[],,Egyptian Art,"Ostracon, figured, fighting bulls",Ostracon with fighting bulls,,"New Kingdom, Ramesside",Dynasty 19–20,,,,,,,,,,,,,,,ca. 1295–1070 B.C.,-1295.0,-1295.0,"Limestone, paint","l. 18.5 cm (7 5/16 in), w. 11.5 cm (4 1/2 in)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 18.5, 'Width': 11.5}}]","Rogers Fund, 1924",Probably from,,,,,"Upper Egypt, Thebes",Deir el-Medina,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544744,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116247266,False,124,
570713.0,False,89.2.562,1889,True,https://images.metmuseum.org/CRDImages/eg/original/89.2.562_EGDP016781.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/89.2.562_EGDP016781.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/89.2.562_EGDP016783.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/89.2.562_EGDP016784.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/89.2.562_EGDP016782.jpg']",,Egyptian Art,"Statuette, Apis bull",Apis bull,,Late Period–Ptolemaic Period,,,,,,,,,,,,,,,,664–30 B.C.,-664.0,-30.0,Cupreous metal,H. 3.9 cm (1 9/16 in.); W. 2.2 cm (7/8 in.); L. 5.6 cm (2 3/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.9, 'Length': 5.6, 'Width': 2.2}}]","Gift of Joseph W. Drexel, 1889",From,,,,Egypt,,,,,,,,,,2024-04-04T04:53:20.873Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/570713,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",,False,130,
252412.0,False,26.31.492,1926,True,https://images.metmuseum.org/CRDImages/gr/original/DP260390.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP260390.jpg,[],,Greek and Roman Art,Statuette of a bull,Bronze bull,Minoan,Late Minoan III,,,,,,,,,,,,,,,,ca. 1400–1200 BCE or later,-1400.0,-1200.0,Bronze,Overall: 2 3/16 x 2 5/16 in. (5.5 x 5.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.5, 'Width': 5.9}}]","Bequest of Richard B. Seager, 1926",,,,,,,,,,,,Bronzes,,,2024-01-18T05:03:36.17Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/252412,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116282862,False,151,
240954.0,False,74.51.1380,1874,True,https://images.metmuseum.org/CRDImages/gr/original/DP101546.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP101546.jpg,[],,Greek and Roman Art,Vase in the form of a bull,Terracotta bull,Cypriot,Late Cypriot II,,,,,,,,,,,,,,,,ca. 1450–1200 BCE,-1450.0,-1200.0,Terracotta,H. 3 3/8 in. (8.6 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Length': 13.4}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 8.6}}]","The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Vases,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/240954,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116295352,False,171,
253510.0,False,36.11.6,1936,True,https://images.metmuseum.org/CRDImages/gr/original/DP258802.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP258802.jpg,[],,Greek and Roman Art,Statuette of a bull or ox,Terracotta bull,"Helladic, Mycenaean",Late Helladic IIIA,,,,,,,,,,,,,,,,ca. 1400–1300 BCE,-1400.0,-1300.0,Terracotta,"H. 3 1/4 in. (8.2 cm)
length  4 1/2 in. (11.4 cm)","[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Length': 11.4}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 8.2}}]","Fletcher Fund, 1936",,,,,,,,,,,,Terracottas,,,2024-01-18T05:03:36.17Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/253510,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116294111,False,151,
247509.0,False,06.1091,1906,True,https://images.metmuseum.org/CRDImages/gr/original/824.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/824.jpg,[],,Greek and Roman Art,Statuette of a bull,Bronze bull,Greek,Classical,,,,,,,,,,,,,,,,late 5th–early 4th century BCE,-450.0,-375.0,Bronze,"H.: 3 9/16 in., 7 cm (9 x 7 cm)","[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 9.048768, 'Length': 7}}]","Rogers Fund, 1906",,,,,,,,,,,,Bronzes,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/247509,"[{'term': 'Bulls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250117', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q693690'}]",https://www.wikidata.org/wiki/Q116290002,False,157,
