objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
544118.0,True,56.16.1,1956,True,https://images.metmuseum.org/CRDImages/eg/original/DP245141.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP245141.jpg,['https://images.metmuseum.org/CRDImages/eg/original/DP244252.jpg'],,Egyptian Art,"Statuette, cat",Cat Statuette intended to contain a mummified cat,,Ptolemaic Period,,,,,,,,,,,,,,,,332–30 B.C.,-332.0,-30.0,Leaded bronze,"h. (including tangs) 32 cm (12 5/8 in); w. 11.9 (4 11/16 in); d. 23.3 cm (9 3/16 in)
h. (cat alone) 27.4 cm (10 13/16 in)","[{'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Weight': 3.7}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 23.3, 'Weight': 2.5, 'Width': 11.9}}, {'elementName': 'Height', 'elementDescription': 'cat alone', 'elementMeasurements': {'Height': 27.4}}, {'elementName': 'Height', 'elementDescription': 'including tangs', 'elementMeasurements': {'Height': 32}}]","Harris Brisbane Dick Fund, 1956",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544118,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q29385765,True,134,
547552.0,False,26.8.121a,1926,True,https://images.metmuseum.org/CRDImages/eg/original/26.8.121a_EGDP014315.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/26.8.121a_EGDP014315.jpg,['https://images.metmuseum.org/CRDImages/eg/original/26.8.121a.jpg'],,Egyptian Art,Bracelet with small figures of cats,Cuff  Bracelets Decorated with Cats,,New Kingdom,Dynasty 18,reign of Thutmose III,,,,,,,,,,,,,,ca. 1479–1425 B.C.,-1479.0,-1479.0,"Gold, carnelian, lapis-lazuli, turquoise glass",L. 16.8 cm (6 5/8 in); W. 5.1 cm (2 in); Th. 2.2 cm (7/8 in); Cat Spacer: D. 5.2 cm (2 1/16 in.); W. 2.9 cm ( 1 1/8in.); Barrels L. 0.6-0.9 cm,"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 16.8, 'Thickness': 2.2, 'Width': 5.1}}, {'elementName': 'Overall', 'elementDescription': 'cat spacer', 'elementMeasurements': {'Depth': 5.2, 'Width': 2.9}}]","Fletcher Fund, 1919–1922; Rogers Fund, 1922; Lila Acheson Wallace Gift, 1988 (1988.17i)",From,,,,Egypt,"Upper Egypt, Thebes","Wadi Gabbanat el-Qurud, Wadi D",Tomb of the Three Foreign Wives of Thutmose III,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/547552,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q116276792,False,118,
574050.0,False,10.130.867,1910,False,,,[],,Egyptian Art,"Seal, cats (?)","Seal, cats (?)",,Third Intermediate Period or later,Dynasty 21–25,,,,,,,,,,,,,,,ca. 1070–664 B.C.,-1070.0,-1070.0,Glazed limestone,L. 1.9 × W. 1.4 cm (3/4 × 9/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 1.9, 'Width': 1.4287529}}]","Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/574050,,https://www.wikidata.org/wiki/Q116442820,False,130,
202147.0,False,58.75.39,1958,True,https://images.metmuseum.org/CRDImages/es/original/DT262268.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DT262268.jpg,['https://images.metmuseum.org/CRDImages/es/original/DP310552.jpg'],"[{'constituentID': 33613, 'role': 'Maker', 'name': 'Attributed to David Roentgen', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500032302', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q77730', 'gender': ''}]",European Sculpture and Decorative Arts,Table,Oval table,,,,,,Maker,Attributed to,David Roentgen,"German, Herrnhaag 1743–1807 Wiesbaden, master 1780",,"Roentgen, David",German,1743,1807,,https://www.wikidata.org/wiki/Q77730,http://vocab.getty.edu/page/ulan/500032302,ca. 1774–80,1769.0,1779.0,"Oak, walnut, pine, cherry, and maple, veneered with maple, hornbeam, holly (all partially stained), cherry, mahogany, tulipwood, and other woods; gilt bronze, iron, brass, steel; partially tooled and gilded leather",29 1/2 x 29 x 20 1/2 in. (74.9 x 73.7 x 52.1 cm.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 52.1, 'Height': 74.9, 'Width': 73.7}}]","Gift of Samuel H. Kress Foundation, 1958",,,,,,,,,,,,Woodwork-Furniture,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/202147,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116310473,True,553,
544039.0,True,1990.59.1,1990,True,https://images.metmuseum.org/CRDImages/eg/original/DT532.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DT532.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/DT6434.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DT6435.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DT6436.jpg']",,Egyptian Art,"Vessel, cat",Cosmetic Vessel in the Shape of a Cat,,Middle Kingdom,"Dynasty 12, early",,,,,,,,,,,,,,,ca. 1990–1900 B.C.,-1990.0,-1990.0,"Travertine (Egyptian alabaster), copper, quartz crystal, paint",h. 14 (5 1/2 in.); l. 13.7 cm (5 3/8 in.); w. 6.2 cm (2 7/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 13.970028, 'Length': 13.652527, 'Width': 6.1912622}}]","Purchase, Lila Acheson Wallace Gift, 1990",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544039,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q29385743,True,111,
552880.0,False,O.C.1050,,True,https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037139.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-O_C_1050_EGDP037139.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037144.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037140.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037142.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037141.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-O_C_1050_EGDP037143.jpg']",,Egyptian Art,"Figurine, cat",Statuette of a cat,,Late Period,Dynasty 26–30,,,,,,,,,,,,,,,664–332 B.C.,-664.0,-332.0,Wood,H. 17.8 × W. 5.4 × D. 9.2 cm (7 × 2 1/8 × 3 5/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 9.2, 'Height': 17.8, 'Width': 5.4}}, {'elementName': 'Overall', 'elementDescription': 'Base', 'elementMeasurements': {'Depth': 10, 'Height': 3.3, 'Width': 5.1}}]",Museum Accession,From,,,,Egypt,,,,,,,,,,2024-07-03T04:53:09.02Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/552880,,https://www.wikidata.org/wiki/Q116419761,False,130,
544120.0,False,15.43.26,1915,True,https://images.metmuseum.org/CRDImages/eg/original/15.43.26_rp.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/15.43.26_rp.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/15.43.26_back.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/15.43.26_lp.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/15.43.26_front.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP228708.jpg']",,Egyptian Art,"Amulet, Cat",Cat amulet,,Late Period,Dynasty 26–29,,,,,,,,,,,,,,,664–380 B.C.,-664.0,-712.0,Faience,h. 2.3 cm (7/8 in),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.3}}]","Bequest of Mary Anna Palmer Draper, 1915",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544120,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q116249805,False,127,
544119.0,False,66.123.2,1966,True,https://images.metmuseum.org/CRDImages/eg/original/DT226229.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DT226229.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/66.123.2_rp.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/66.123.2_lp.jpg']",,Egyptian Art,"Figurine, Cat",Crouching Cat Figurine,,Late Period,Dynasty 26–29,,,,,,,,,,,,,,,664–380 B.C.,-664.0,-712.0,Bronze,l. 4.7 cm (1 7/8 in),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 4.7}}]","Gift of J. Lionberger Davis, 1966",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544119,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q116249797,False,127,
546190.0,False,42.5.20,1942,True,https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037157.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-42_5_20_EGDP037157.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037162.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037159.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037158.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037160.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-42_5_20_EGDP037161.jpg']",,Egyptian Art,"Statuette, cat",Statuette of cat,,Late Period,Dynasty 26–30,,,,,,,,,,,,,,,664–332 B.C.,-664.0,-332.0,Marble,H. 6.3 × W. 1.6 × D. 3 cm (2 1/2 × 5/8 × 1 3/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 3, 'Height': 6.3, 'Width': 1.6}}, {'elementName': 'Overall', 'elementDescription': 'Base', 'elementMeasurements': {'Depth': 3.9, 'Height': 1.1, 'Width': 2.4}}]","Gift of Albert Gallatin, 1942",From,,,,Egypt,,,,,,,,,,2024-07-03T04:53:09.02Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/546190,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q116414623,False,130,
553799.0,False,15.43.23,1915,True,https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026475.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-15_43_23_EGDP026475.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026470.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026473.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026471.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026474.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-15_43_23_EGDP026472.jpg']",,Egyptian Art,"Amulet, cat",Cat amulet,,Third Intermediate Period or later,Dynasty 21–25,,,,,,,,,,,,,,,ca. 1070–664 B.C.,-1070.0,-1070.0,Faience,H. 4.8 × W. 1.4 × D. 3.8 cm (1 7/8 × 9/16 × 1 1/2 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 3.8, 'Height': 4.8, 'Width': 1.4}}]","Bequest of Mary Anna Palmer Draper, 1915",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/553799,"[{'term': 'Cats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265960', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q146'}]",https://www.wikidata.org/wiki/Q116235153,False,125,
