objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
207190.0,False,1982.60.310,1982,True,https://images.metmuseum.org/CRDImages/es/original/DT7143.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DT7143.jpg,[],"[{'constituentID': 164832, 'role': 'Manufactory', 'name': 'Meissen Manufactory', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500054662', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q822407', 'gender': ''}, {'constituentID': 162020, 'role': 'Modeler', 'name': 'Attributed to Johann Joachim Kändler', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500001959', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q73593', 'gender': ''}]",European Sculpture and Decorative Arts,Figure,Monkey,,,,,,Manufactory,,Meissen Manufactory,"German, 1710–present",,Meissen Manufactory,German,1710,9999,,https://www.wikidata.org/wiki/Q822407,http://vocab.getty.edu/page/ulan/500054662,"ca.1740, after a model of ca.1732",1727.0,1745.0,Hard-paste porcelain,Height: 9 1/2 in. (24.1 cm),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 24.130049}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Ceramics-Porcelain,,,2024-01-04T04:57:24.17Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/207190,"[{'term': 'Monkeys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250028', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1367'}]",https://www.wikidata.org/wiki/Q116310231,False,538,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not a valid object
590943.0,False,"30.8.134, 1992.338-related",1930,True,https://images.metmuseum.org/CRDImages/eg/original/eg30.8.134_1992.338.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/eg30.8.134_1992.338.jpg,[],,Egyptian Art,"Vase, monkey, baby",Two Vases in the Shape of a Mother Monkey with her Young,,Old Kingdom,Dynasty 6,reigns of Pepi I and Merenre,,,,,,,,,,,,,,ca. 2289–2246 BC,-2289.0,-2246.0,"Travertine (Egyptian alabaster), paint, resin and pigment","30.8.134: H. 18.6 cm (7 5/16 in.)
1992.338: H. 13.7 cm (5 3/8 in.)","[{'elementName': 'Overall', 'elementDescription': '1992.338', 'elementMeasurements': {'Height': 13.7}}, {'elementName': 'Overall', 'elementDescription': '30.8.134', 'elementMeasurements': {'Height': 18.6}}]","Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915 (30.8.134); Purchase, Joseph Pulitzer Bequest, Fletcher Fund, and Lila Acheson Wallace, Russell and Judy Carson, William Kelly Simpson, and Vaughn Foundation Gifts, in honor of Henry George Fischer, 1992 (1992.338)",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/590943,"[{'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}, {'term': 'Monkeys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250028', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1367'}]",https://www.wikidata.org/wiki/Q116252310,True,103,
256213.0,False,1995.84,1995,True,https://images.metmuseum.org/CRDImages/gr/original/DP124718.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP124718.jpg,[],,Greek and Roman Art,Pendant in the form of a monkey,Pendant: monkey,Etruscan,Archaic,,,,,,,,,,,,,,,,7th century BCE,-699.0,-600.0,Amber,H. 1 in. (2.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.5}}]","Gift of Mr. and Mrs. Robert Haber, 1995",,,,,,,,,,,,Miscellaneous-Amber,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/256213,"[{'term': 'Monkeys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250028', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1367'}]",https://www.wikidata.org/wiki/Q116288040,False,170,
570214.0,False,90.6.204,1890,True,https://images.metmuseum.org/CRDImages/eg/original/LC-90_6_204_EGDP023533.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-90_6_204_EGDP023533.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-90_6_204_EGDP023536.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-90_6_204_EGDP023537.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-90_6_204_EGDP023534.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-90_6_204_EGDP023535.jpg']",,Egyptian Art,"Amulet, monkey",Monkey or meerkat,,Late Period–Ptolemaic Period,,,,,,,,,,,,,,,,500–200 BC,-500.0,-200.0,Faience,H. 5 × W. 1.1 × D. 1.9 cm (1 15/16 × 7/16 × 3/4 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.9, 'Height': 5, 'Width': 1.1}}]","Gift of James Douglas, 1890",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/570214,"[{'term': 'Monkeys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250028', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1367'}]",https://www.wikidata.org/wiki/Q116272978,False,134,
555596.0,False,59.100.7,1959,True,https://images.metmuseum.org/CRDImages/eg/original/LC-59_100_7_EGDP036708.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-59_100_7_EGDP036708.jpg,['https://images.metmuseum.org/CRDImages/eg/original/LC-59_100_7_EGDP036709.jpg'],,Egyptian Art,"Amulet, monkey",Monkey amulet,,Late Old Kingdom–Early Middle Kingdom,Dynasty 8–12,,,,,,,,,,,,,,,ca. 2150–1950 B.C.,-2150.0,-1950.0,Ivory or bone,H. 2.2 × W. 1 × D. 1.2 cm (7/8 × 3/8 × 1/2 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.2, 'Height': 2.2, 'Width': 1}}]","Rogers Fund, 1959",From,,,,Egypt,,,,,,,,,,2024-02-16T04:57:51.813Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/555596,,https://www.wikidata.org/wiki/Q116430970,False,103,
550993.0,False,66.99.124,1966,True,https://images.metmuseum.org/CRDImages/eg/original/DP276393.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP276393.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/DP279162.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP279161.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP279159.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP279160.jpg']",,Egyptian Art,"Amulet, monkey, serpent tail",Standing Monkey Amulet,,Late Period,Dynasty 26–30,,,,,,,,,,,,,,,664–332 B.C.,-664.0,-664.0,Faience,H. 5.5 × W. 1.7 × D. 2.2 cm (2 3/16 × 11/16 × 7/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 5.5, 'Width': 1.7}}]","Purchase, Fletcher Fund and The Guide Foundation Inc. Gift, 1966",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/550993,"[{'term': 'Monkeys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250028', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1367'}]",https://www.wikidata.org/wiki/Q116253538,False,127,
569271.0,False,10.130.1038,1910,False,,,[],,Egyptian Art,"Figurine, monkey",Monkey figurine,,New Kingdom,,,,,,,,,,,,,,,,ca. 1550–1295 B.C.,-1550.0,-1295.0,Pottery,,,"Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/569271,,https://www.wikidata.org/wiki/Q116441519,False,122,
552675.0,False,17.194.2437,1917,False,,,[],,Egyptian Art,"Amulet, monkey",Monkey Amulet,,Late Period–Ptolemaic Period,Dynasty 26–30,,,,,,,,,,,,,,,664–30 B.C.,-664.0,-30.0,Faience,H. 4.3 cm (1 11/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 4.3}}]","Gift of J. Pierpont Morgan, 1917",From,,,,Egypt,,,,,,,,,,2023-06-28T04:56:22.387Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/552675,,https://www.wikidata.org/wiki/Q116419491,False,130,
550918.0,False,10.130.2156,1910,True,https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028697.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-10_130_2156_EGDP028697.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028701.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028723.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028700.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028699.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2156_EGDP028698.jpg']",,Egyptian Art,"Amulet, monkey",Ape Amulet,,Late Period,Dynasty 26–29,,,,,,,,,,,,,,,664–332 B.C.,-664.0,-664.0,Faience,H. 4.8 × W. 1.2 × D. 1.9 cm (1 7/8 × 1/2 × 3/4 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.9, 'Height': 4.7625093, 'Width': 1.2}}]","Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/550918,,https://www.wikidata.org/wiki/Q116387279,False,127,
