objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
59689.0,False,91.1.975,1891,True,https://images.metmuseum.org/CRDImages/as/original/DT4920.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT4920.jpg,"['https://images.metmuseum.org/CRDImages/as/original/DP252960.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP253245.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP253246.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-15452-012.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-15452-013.jpg']","[{'constituentID': 18996, 'role': 'Artist', 'name': 'Ōhara Mitsuhiro', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500477360', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q46345723', 'gender': ''}]",Asian Art,Netsuke,Rabbit,Japan,Edo period (1615–1868),,,,Artist,,Ōhara Mitsuhiro,"Japanese, 1810–1875",,Ōhara Mitsuhiro,Japanese,1810,1875,,https://www.wikidata.org/wiki/Q46345723,http://vocab.getty.edu/page/ulan/500477360,mid-19th century,1825.0,1875.0,Ivory,H. 1 in. (2.5 cm); W. 1 in. (2.5 cm); D. 1 3/4 in. (4.4 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Depth': 4.445, 'Height': 2.54, 'Width': 2.54}}]","Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",,,,,,,,,,,,Netsuke,,,2024-06-04T04:53:22.4Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/59689,"[{'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",,False,199,
207167.0,False,1982.60.286,1982,True,https://images.metmuseum.org/CRDImages/es/original/DP249380.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP249380.jpg,"['https://images.metmuseum.org/CRDImages/es/original/DP249381.jpg', 'https://images.metmuseum.org/CRDImages/es/original/DP249382.jpg', 'https://images.metmuseum.org/CRDImages/es/original/DP238527.jpg']","[{'constituentID': 45939, 'role': 'Manufactory', 'name': 'Capodimonte Porcelain Manufactory', 'constituentULAN_URL': '(not assigned)', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q945058', 'gender': ''}, {'constituentID': 33864, 'role': 'Modeler', 'name': 'Giuseppe Gricci', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500414543', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q5565429', 'gender': ''}]",European Sculpture and Decorative Arts,Group,Rabbit Catchers,,,,,,Manufactory,,Capodimonte Porcelain Manufactory,"Italian, 1740/43–1759",,Capodimonte Porcelain Manufactory,Italian,1740,1759,,https://www.wikidata.org/wiki/Q945058,(not assigned),ca. 1755–59,1750.0,1764.0,Soft-paste porcelain,Height: 6 7/16 in. (16.4 cm),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 16.351282}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Ceramics-Porcelain,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/207167,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",https://www.wikidata.org/wiki/Q116307079,False,543,
22098.0,False,07.48,1907,True,https://images.metmuseum.org/CRDImages/aa/original/DP219907.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP219907.jpg,"['https://images.metmuseum.org/CRDImages/aa/original/DT304716.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/LC-07_48-007.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/LC-07_48-004.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/LC-07_48-011.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/LC-07_48-010.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/LC-07_48-009.jpg']",,Arms and Armor,Helmet in the shape of a crouching rabbit,Helmet in the Shape of a Crouching Rabbit,Japanese,,,,,,,,,,,,,,,,,17th century,1601.0,1700.0,"Iron, lacquer, silver, gold, leather, silk",7 x 14 in. (17.8 x 35.6 cm),,"Rogers Fund, 1907",Country of Origin,,,,Japan,,,,,,,Helmets,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/22098,"[{'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",https://www.wikidata.org/wiki/Q116328000,False,377,
37436.0,False,"1986.506.3a, b",1986,True,https://images.metmuseum.org/CRDImages/as/original/1986_506_3ab_O1.jpg,https://images.metmuseum.org/CRDImages/as/web-large/1986_506_3ab_O1.jpg,['https://images.metmuseum.org/CRDImages/as/original/264827_1986.506.1-10.jpg'],,Asian Art,Covered Lime pot,Covered Lime Pot in the Form of a Rabbit,Thailand,Angkor period,,,,,,,,,,,,,,,,second half of the 12th century,1150.0,1199.0,Stoneware,H. 4 5/16 in. (10.4 cm); W. 5 in. (12.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 10.4, 'Width': 12.7}}]","Gift of Cynthia Hazen Polsky, 1986",,,,,,,,,,,,Ceramics,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/37436,"[{'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",https://www.wikidata.org/wiki/Q116316225,False,248,
553728.0,False,30.8.856,1930,False,,,[],,Egyptian Art,"Seal, rabbit","Seal, rabbit",,Third Intermediate Period or later,Dynasty 21–25,,,,,,,,,,,,,,,ca. 1070–664 B.C.,-1070.0,-1070.0,Faience,L. 1.4 × W. 1.1 cm (9/16 × 7/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 1.4, 'Width': 1.1}}]","Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/553728,,https://www.wikidata.org/wiki/Q116423365,False,130,
11103.0,False,43.52,1943,True,https://images.metmuseum.org/CRDImages/ad/original/ap43.52.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ap43.52.jpg,['https://images.metmuseum.org/CRDImages/ad/original/APS2022.jpg'],"[{'constituentID': 1881, 'role': 'Artist', 'name': 'Thomas Hewes Hinckley', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500009040', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q20853358', 'gender': ''}]",The American Wing,Painting,The Rabbit Hunters,American,,,,,Artist,,Thomas Hewes Hinckley,1813–1896,,"Hinckley, Thomas Hewes",American,1813,1896,,https://www.wikidata.org/wiki/Q20853358,http://vocab.getty.edu/page/ulan/500009040,1850,1850.0,1850.0,Oil on canvas,40 x 54 1/4 in. (101.6 x 137.8 cm),"[{'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 11, 'Height': 130, 'Width': 163.5}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 101.6, 'Width': 137.8}}]","Gift of Mrs. F. Livingston Pell, 1943",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/11103,"[{'term': 'Hunting', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300239666', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q36963'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}, {'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",https://www.wikidata.org/wiki/Q20174493,False,774,
554045.0,False,04.2.775,1904,False,,,[],,Egyptian Art,"Scarab, rabbit",Scarab,,New Kingdom,Dynasty 18,,,,,,,,,,,,,,,ca. 1550–1295 B.C.,-1550.0,-1295.0,Steatite,L. 0.014m,,"Gift of Darius Ogden Mills, 1904",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/554045,,https://www.wikidata.org/wiki/Q116424472,False,117,
49502.0,False,1985.214.36,1985,True,https://images.metmuseum.org/CRDImages/as/original/DP-26661-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-26661-001.jpg,"['https://images.metmuseum.org/CRDImages/as/original/DP-26661-002.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-26661-003.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-26661-004.jpg']",,Asian Art,Chariot linchpin,Chariot linchpin with rabbit,China,Western Zhou dynasty (1046–771 BCE),,,,,,,,,,,,,,,,11th–9th century BCE,-1100.0,-800.0,Bronze,H. 4 3/8 in. (11.1 cm); W. 2 in. (5.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 11.112522, 'Width': 5.1}}]","Gift of Ernest Erickson Foundation, 1985",,,,,,,,,,,,Metalwork,,,2024-01-31T04:57:04.01Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/49502,"[{'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",,False,207,
49503.0,False,1985.214.37,1985,True,https://images.metmuseum.org/CRDImages/as/original/DP-26662-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-26662-001.jpg,"['https://images.metmuseum.org/CRDImages/as/original/DP-26662-002.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-26662-003.jpg', 'https://images.metmuseum.org/CRDImages/as/original/DP-26662-004.jpg']",,Asian Art,Chariot linchpin,Chariot linchpin with rabbit,China,Western Zhou dynasty (1046–771 BCE),,,,,,,,,,,,,,,,11th–9th century BCE,-1100.0,-800.0,Bronze,H. 4 3/8 in. (11.1 cm); W. 2 in. (5.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 11.112522, 'Width': 5.1}}]","Gift of Ernest Erickson Foundation, 1985",,,,,,,,,,,,Metalwork,,,2024-01-31T04:57:04.01Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/49503,"[{'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}]",,False,207,
558730.0,False,10.130.793,1910,False,,,[],,Egyptian Art,"Scaraboid, rabbit head (?)","Scaraboid, rabbit head (?)",,New Kingdom,Dynasty 18,,,,,,,,,,,,,,,ca. 1550–1295 B.C.,-1550.0,-1295.0,Faience,,"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Width': 7.3}}]","Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/558730,,https://www.wikidata.org/wiki/Q116433174,False,117,
